"country","Year","Inflation..consumer.prices..annual...","Inflation..GDP.deflator..annual...","Real.interest.rate....","Deposit.interest.rate....","Lending.interest.rate....","Unemployment..total....of.total.labor.force...national.estimate.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","iso3c","adminregion","incomeLevel","Government_Yield"
"Australia",1979,9.12200684150512,8.63079593723468,0.45493918966668,NA,9.125,6.26000022888184,NA,"AUS","","High income",10.07999992
"Australia",1980,10.1358411703239,10.0161833028378,-0.0336465373182348,NA,9.97916666666667,6.1100001335144,NA,"AUS","","High income",12.60000038
"Australia",1981,9.48766603415561,9.52941275340409,2.10347204646873,13.6245762711864,11.8333333333333,5.78000020980835,NA,"AUS","","High income",15
"Australia",1982,11.3518197573657,11.7115030089482,1.41450398137774,15.0133474576271,13.2916666666667,7.15999984741211,NA,"AUS","","High income",14
"Australia",1983,10.0389105058366,10.1581344366299,2.05026368827631,12.8497881355932,12.4166666666667,9.96000003814697,NA,"AUS","","High income",13.5
"Australia",1984,3.96039603960395,7.85944984750479,3.3752723174857,12.4648305084746,11.5,8.98999977111816,NA,"AUS","","High income",13.39999962
"Australia",1985,6.73469387755101,4.63158958897274,7.44046526319279,14.0095338983051,12.4166666666667,8.26000022888184,NA,"AUS","","High income",14.85000038
"Australia",1986,9.05035054174635,6.45582415761285,8.02602949157304,16.2169491525424,15,8.07999992370605,NA,"AUS","","High income",13.39999962
"Australia",1987,8.53302162478083,7.0561823886453,7.49807322247593,14.881779661017,15.0833333333333,8.10999965667725,NA,"AUS","","High income",12.85000038
"Australia",1988,7.21593968766826,7.19857603182091,6.42243354003949,13.3614406779661,14.0833333333333,7.23000001907349,NA,"AUS","","High income",12.94999981
"Australia",1989,7.53390256152692,9.24600913719451,6.6019109101563,18.3463983050848,16.4583333333333,6.17999982833862,NA,"AUS","","High income",12.89999962
"Australia",1990,7.33302195235869,6.10235276739392,9.66219280900172,15.8271186440678,16.3541666666667,6.92999982833862,NA,"AUS","","High income",12.06999969
